#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
0,S0001184,Fe,536727.53520901,7519378.19955973,322.15,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
1,S0001185,Fe,539315.95959969,7505467.297762179,867.64,14341,6148,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
2,S0001186,Fe,517965.82680438,7509443.50145815,22.73,15267,14338,A-HAu-xsl-ci,A-HAd-kd,Fault,12660
3,S0001482,Fe,505671.53734195,7495706.967673071,1099.56,14341,16210,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
4,S0001587,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
5,S0001588,Fe,536727.53520901,7519378.19955973,322.15,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
6,S0002943,Fe,542852.12722071,7512530.31984057,15.36,5501,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
7,S0002944,Fe,537427.83045605,7519211.47424308,205.00,5501,14338,A-HAu-xsl-ci,A-HAd-kd,Strat,-1
8,S0002945,Fe,533919.39206561,7501319.11578674,225.22,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
9,S0002946,Fe,524522.1820093601,7510734.87992429,53.46,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
10,S0002950,Fe,540516.5096417,7504756.938801541,35.58,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
11,S0003430,Fe,537057.45151089,7502797.39324289,304.89,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
12,S0003431,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
13,S0003432,Fe,521911.91276564,7499805.645154221,48.91,15984,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
14,S0003433,Fe,518292.34304652,7498404.680772689,48.07,15985,15984,A-HAd-kd,A-HAm-cib,Strat,-1
15,S0004387,Fe,534895.42244226,7518673.451707809,214.32,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
16,S0004388,Fe,537901.28847727,7519708.4436701,112.69,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
17,S0005508,Fe,528884.3155511901,7513147.196054351,50.43,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
18,S0016714,Fe,534895.42244226,7518673.451707809,214.32,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
19,S0018511,Asbr,531430.49890927,7516001.66076483,715.38,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
20,S0019231,Fe,533976.8196691,7518631.332760109,134.72,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
21,S0019232,Fe,533082.15661056,7518521.363461419,113.43,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
22,S0019233,Fe,537315.24345204,7518612.11646156,250.99,5501,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
23,S0020567,Fe,537836.75132685,7518652.80091886,104.87,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
24,S0020927,Fe,514737.36485321,7509639.42899205,108.56,14338,14338,A-HAd-kd,A-HAd-kd,Fault,15552
25,S0020928,Fe,520909.9511141,7511052.47757509,186.97,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
26,S0022158,Fe,523600.7287405,7501079.339896379,50.86,14341,14341,P_-HAb-cib,P_-HAb-cib,Fault,3496
27,S0022159,Fe,518301.18554535,7499698.36161656,118.10,14341,15990,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
28,S0022230,Fe,538000.73443783,7518300.16921388,491.54,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
29,S0023046,Fe,541903.78233367,7504360.24216293,159.19,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
30,S0023156,Fe,526639.62430781,7515250.10214533,345.75,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
31,S0029278,Asbr,544200.1898770001,7492500.304215689,226.40,5293,4678,A-HAm-cib,A-HAd-kd,Strat,-1
32,S0029281,Asbr,527999.43277773,7500600.594080769,361.25,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
33,S0029282,Asbr,540200.29870689,7503200.27253777,81.60,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
34,S0029284,Mn,531400.26199019,7501000.255735419,89.84,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
35,S0030666,Fe,523436.86193386,7511303.54420836,535.48,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
36,S0030668,Fe,518636.62155483,7510353.71159097,106.39,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
37,S0030670,Fe,509037.74969365,7509853.153831471,10.81,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
38,S0030671,Fe,524958.01670957,7509379.506214449,114.65,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
39,S0030672,Fe,525629.76544077,7509502.379092409,46.92,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
40,S0030673,Fe,523702.86633394,7509118.150398631,224.50,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
41,S0223560,Fe,536727.53520901,7519378.19955973,322.15,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
42,S0223930,Gvl,530831.95469848,7503754.62756952,167.30,6148,6148,P_-HAj-xci-od,P_-HAj-xci-od,Fault,3498
43,S0223931,Gvl,530991.4072372,7503960.97449676,176.52,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
44,S0223932,Gvl,532224.49587211,7504525.96995566,101.41,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
45,S0224581,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
46,S0225077,Fe,537427.83045605,7519211.47424308,205.00,5501,14338,A-HAu-xsl-ci,A-HAd-kd,Strat,-1
47,S0225126,Fe,537315.24345204,7518612.11646156,250.99,5501,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
48,S0225347,Fe,524637.38982582,7496022.35990479,39.13,14311,14311,A-FOu-bbo,A-FOu-bbo,Fault,12647
49,S0225348,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
50,S0225350,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
51,S0225351,Fe,544819.95020013,7509757.428803101,198.56,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
52,S0225657,Fe,527926.9333544,7491970.093912129,258.27,14311,14311,A-FOu-bbo,A-FOu-bbo,Fault,3496
53,S0226150,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
54,S0230310,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
55,S0230416,Fe,520591.05989977,7500735.43305293,188.35,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
56,S0230417,Fe,517270.57612148,7499253.790410751,115.23,14341,15990,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
57,S0231319,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
58,S0231531,Fe,520909.9511141,7511052.47757509,186.97,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
59,S0233919,Fe,506566.38370155,7507274.58991408,80.10,14341,4331,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
60,S0233920,Fe,507214.73230218,7510206.56347568,132.76,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
61,S0233921,Fe,505699.00848048,7509917.73711692,399.31,14338,2911,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
62,S0234756,Fe,514743.99040407,7507540.00905375,84.44,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
63,S0234757,Fe,518502.98114357,7508350.982121979,136.88,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
